key,en,hi,mr,de,fr,es,ko,ta,te,kn,ml,bn,gu,ur,ar,th,vi
stroke_dep_note,"Total energy, energy per hour and effective mass depend on the stroke — a drive still pushing adds F×S — so they are shown per model below.","कुल ऊर्जा, प्रति घंटा ऊर्जा और प्रभावी द्रव्यमान स्ट्रोक पर निर्भर हैं — चलती ड्राइव F×S जोड़ती है — इसलिए नीचे प्रति मॉडल दिखाए गए हैं।","एकूण ऊर्जा, प्रति तास ऊर्जा व प्रभावी वस्तुमान स्ट्रोकवर अवलंबून आहेत — चालू ड्राइव्ह F×S जोडते — म्हणून खाली प्रति मॉडेल दाखवले आहेत.","Gesamtenergie, Energie pro Stunde und effektive Masse hängen vom Hub ab — ein weiter schiebender Antrieb addiert F×S — daher je Modell angegeben.","L’énergie totale, l’énergie horaire et la masse effective dépendent de la course — un entraînement qui pousse encore ajoute F×S — elles sont donc indiquées par modèle.","La energía total, la energía por hora y la masa efectiva dependen de la carrera — un accionamiento que sigue empujando añade F×S — por eso se muestran por modelo.","총 에너지, 시간당 에너지, 유효질량은 행정에 따라 달라집니다 — 계속 미는 구동은 F×S를 더합니다 — 따라서 아래에 모델별로 표시됩니다.",,,,,,,,,,
pick_smallest,smallest,सबसे छोटा,सर्वात लहान,kleinstes,le plus petit,el más pequeño,최소형,,,,,,,,,,
pick_gentlest_stop,gentlest stop,सबसे कोमल रोक,सर्वात सौम्य थांबा,sanftester Stopp,arrêt le plus doux,parada más suave,가장 부드러운 정지,,,,,,,,,,
pick_best_centred_utilisation,best-centred utilisation,सर्वोत्तम-केंद्रित उपयोग,सर्वोत्तम-केंद्रित वापर,bestzentrierte Auslastung,utilisation la mieux centrée,utilización mejor centrada,최적 중심 사용률,,,,,,,,,,
show_more,Show {n} more models,{n} और मॉडल दिखाएँ,आणखी {n} मॉडेल दाखवा,{n} weitere Modelle,Afficher {n} modèles de plus,Mostrar {n} modelos más,{n}개 모델 더 보기,,,,,,,,,,
show_best,Show only the best {n},केवल सर्वश्रेष्ठ {n} दिखाएँ,फक्त सर्वोत्तम {n} दाखवा,Nur die besten {n},Afficher les {n} meilleurs,Mostrar solo los {n} mejores,상위 {n}개만 보기,,,,,,,,,,
need_email_phone,Email and phone are required so we can send the drawings and quotation.,ड्राइंग और कोटेशन भेजने के लिए ईमेल और फ़ोन आवश्यक हैं।,ड्रॉइंग व कोटेशन पाठवण्यासाठी ईमेल व फोन आवश्यक आहेत.,"E-Mail und Telefon sind nötig, damit wir Zeichnungen und Angebot senden können.",E-mail et téléphone sont requis pour l’envoi des plans et du devis.,Correo y teléfono son necesarios para enviar planos y cotización.,도면과 견적을 보내드리려면 이메일과 전화가 필요합니다.,,,,,,,,,,
sending,Sending your request…,आपका अनुरोध भेजा जा रहा है…,तुमची विनंती पाठवली जात आहे…,Anfrage wird gesendet…,Envoi de votre demande…,Enviando su solicitud…,요청을 보내는 중…,,,,,,,,,,
sending_sub,Attaching your calculation.,आपकी गणना संलग्न की जा रही है।,तुमची गणना जोडली जात आहे.,Berechnung wird angehängt.,Calcul joint.,Adjuntando su cálculo.,계산 결과를 첨부합니다.,,,,,,,,,,
sent_title,Request {n} sent,अनुरोध {n} भेजा गया,विनंती {n} पाठवली,Anfrage {n} gesendet,Demande {n} envoyée,Solicitud {n} enviada,요청 {n} 전송됨,,,,,,,,,,
sent_ack,A copy is on its way to your inbox. We normally reply within one working day.,एक प्रति आपके इनबॉक्स में आ रही है। हम सामान्यतः एक कार्यदिवस में उत्तर देते हैं।,एक प्रत तुमच्या इनबॉक्समध्ये येत आहे. आम्ही सहसा एका कामकाजाच्या दिवसात उत्तर देतो.,Eine Kopie ist unterwegs in Ihr Postfach. Wir antworten in der Regel innerhalb eines Werktags.,Une copie arrive dans votre boîte mail. Nous répondons généralement sous un jour ouvré.,Una copia va a su bandeja de entrada. Normalmente respondemos en un día laborable.,사본이 이메일로 발송되었습니다. 보통 1 영업일 이내에 회신합니다.,,,,,,,,,,
sent_noack,"We have it. Our engineer will come back to you, normally within one working day.",हमें मिल गया। हमारे इंजीनियर सामान्यतः एक कार्यदिवस में संपर्क करेंगे।,आम्हाला मिळाली. आमचे अभियंता सहसा एका कामकाजाच्या दिवसात संपर्क करतील.,"Angekommen. Unser Ingenieur meldet sich, in der Regel innerhalb eines Werktags.","Bien reçue. Notre ingénieur vous répondra, généralement sous un jour ouvré.","Recibida. Nuestro ingeniero le responderá, normalmente en un día laborable.",접수되었습니다. 엔지니어가 보통 1 영업일 이내에 연락드립니다.,,,,,,,,,,
sent_note,Your calculation is attached to it.,आपकी गणना इसके साथ संलग्न है।,तुमची गणना त्यासोबत जोडली आहे.,Ihre Berechnung ist beigefügt.,Votre calcul y est joint.,Su cálculo va adjunto.,계산 결과가 첨부되었습니다.,,,,,,,,,,
send_failed,Could not send,भेज नहीं सका,पाठवता आले नाही,Senden fehlgeschlagen,Envoi impossible,No se pudo enviar,전송 실패,,,,,,,,,,
gstin_ok,Valid,मान्य,वैध,Gültig,Valide,Válido,유효,,,,,,,,,,
gstin_bad,Not a valid GSTIN,अमान्य GSTIN,अवैध GSTIN,Ungültige GSTIN,GSTIN invalide,GSTIN no válido,유효하지 않은 GSTIN,,,,,,,,,,
did_you_mean,Did you mean,क्या आपका मतलब था,तुम्हाला म्हणायचे होते का,Meinten Sie,Vouliez-vous dire,¿Quiso decir,혹시,,,,,,,,,,
f_m,Mass,द्रव्यमान,वस्तुमान,Masse,Masse,Masa,질량,,,,,,,,,,
h_m,the mass that actually reaches the buffer,वह द्रव्यमान जो वास्तव में बफर तक पहुँचता है,बफरपर्यंत प्रत्यक्ष पोहोचणारे वस्तुमान,"die Masse, die tatsächlich auf den Puffer trifft",la masse qui atteint réellement le butoir,la masa que realmente llega al tope,실제로 버퍼에 닿는 질량,,,,,,,,,,
f_v,Rated travel speed,रेटेड गति,रेटेड वेग,Nenn-Fahrgeschwindigkeit,Vitesse nominale,Velocidad nominal,정격 주행 속도,,,,,,,,,,
h_v,the standard applies its own factor to this,मानक इस पर अपना गुणांक लगाता है,मानक यावर स्वतःचा गुणांक लावते,die Norm wendet darauf ihren Faktor an,la norme y applique son propre facteur,la norma aplica su propio factor,규격이 자체 계수를 적용합니다,,,,,,,,,,
f_v_ms,Impact velocity,प्रभाव वेग,आघात वेग,Aufprallgeschwindigkeit,Vitesse d’impact,Velocidad de impacto,충돌 속도,,,,,,,,,,
f_m2,Second mass,दूसरा द्रव्यमान,दुसरे वस्तुमान,Zweite Masse,Deuxième masse,Segunda masa,두 번째 질량,,,,,,,,,,
f_v2,Second speed,दूसरी गति,दुसरा वेग,Zweite Geschwindigkeit,Deuxième vitesse,Segunda velocidad,두 번째 속도,,,,,,,,,,
f_P,Travel motor power,ट्रैवल मोटर पावर,ट्रॅव्हल मोटर पॉवर,Fahrmotorleistung,Puissance moteur,Potencia del motor,주행 모터 출력,,,,,,,,,,
h_P,leave blank if the drive is off at impact,यदि प्रभाव के समय ड्राइव बंद हो तो खाली छोड़ें,आघाताच्या वेळी ड्राइव्ह बंद असल्यास रिकामे ठेवा,"leer lassen, wenn der Antrieb beim Aufprall aus ist",laisser vide si l’entraînement est coupé à l’impact,deje en blanco si el accionamiento está apagado al impactar,충돌 시 구동이 꺼져 있으면 비워 두세요,,,,,,,,,,
f_H_M,Stall torque factor,स्टॉल टॉर्क गुणांक,स्टॉल टॉर्क गुणांक,Kippmomentfaktor,Facteur de couple de décrochage,Factor de par de bloqueo,정동 토크 계수,,,,,,,,,,
h_H_M,normally 2.5,सामान्यतः 2.5,सहसा 2.5,"normalerweise 2,5","normalement 2,5","normalmente 2,5",보통 2.5,,,,,,,,,,
f_F,Propelling force,प्रणोदक बल,प्रणोदक बल,Vortriebskraft,Force motrice,Fuerza propulsora,추진력,,,,,,,,,,
h_F,cylinder or drive force still acting during the stroke,स्ट्रोक के दौरान सक्रिय सिलेंडर या ड्राइव बल,स्ट्रोकदरम्यान कार्यरत सिलिंडर किंवा ड्राइव्ह बल,"Zylinder- oder Antriebskraft, die während des Hubs weiter wirkt",force du vérin ou de l’entraînement encore active pendant la course,fuerza del cilindro o accionamiento que sigue actuando durante la carrera,행정 중에도 계속 작용하는 실린더 또는 구동력,,,,,,,,,,
f_C,Impacts per hour,प्रति घंटा प्रभाव,प्रति तास आघात,Stöße pro Stunde,Impacts par heure,Impactos por hora,시간당 충돌 횟수,,,,,,,,,,
f_n,Buffers taking the impact,प्रभाव लेने वाले बफर,आघात घेणारे बफर,"Puffer, die den Stoß aufnehmen",Butoirs recevant l’impact,Topes que reciben el impacto,충격을 받는 버퍼 수,,,,,,,,,,
f_mu,Friction coefficient,घर्षण गुणांक,घर्षण गुणांक,Reibungskoeffizient,Coefficient de frottement,Coeficiente de fricción,마찰 계수,,,,,,,,,,
f_H,Drop height,गिरने की ऊँचाई,पडण्याची उंची,Fallhöhe,Hauteur de chute,Altura de caída,낙하 높이,,,,,,,,,,
f_beta,Incline angle,झुकाव कोण,उतार कोन,Neigungswinkel,Angle d’inclinaison,Ángulo de inclinación,경사각,,,,,,,,,,
f_J,Moment of inertia,जड़त्व आघूर्ण,जडत्व आघूर्ण,Massenträgheitsmoment,Moment d’inertie,Momento de inercia,관성 모멘트,,,,,,,,,,
f_omega,Angular velocity,कोणीय वेग,कोनीय वेग,Winkelgeschwindigkeit,Vitesse angulaire,Velocidad angular,각속도,,,,,,,,,,
f_M_t,Torque,टॉर्क,टॉर्क,Drehmoment,Couple,Par,토크,,,,,,,,,,
f_r,Torque radius,टॉर्क त्रिज्या,टॉर्क त्रिज्या,Momentenradius,Rayon du couple,Radio del par,토크 반경,,,,,,,,,,
f_R,Buffer radius,बफर त्रिज्या,बफर त्रिज्या,Pufferradius,Rayon du butoir,Radio del tope,버퍼 반경,,,,,,,,,,
f_temp_min,Min. temperature,न्यूनतम तापमान,किमान तापमान,Min. Temperatur,Température min.,Temperatura mín.,최저 온도,,,,,,,,,,
f_temp_max,Max. temperature,अधिकतम तापमान,कमाल तापमान,Max. Temperatur,Température max.,Temperatura máx.,최고 온도,,,,,,,,,,
f_max_stroke,Available stroke,उपलब्ध स्ट्रोक,उपलब्ध स्ट्रोक,Verfügbarer Hub,Course disponible,Carrera disponible,사용 가능 행정,,,,,,,,,,
h_max_stroke,leave blank if unconstrained,सीमा न हो तो खाली छोड़ें,मर्यादा नसल्यास रिकामे ठेवा,"leer lassen, wenn keine Begrenzung",laisser vide si sans contrainte,deje en blanco si no hay límite,제한이 없으면 비워 두세요,,,,,,,,,,
case_C1,Crane or wagon into a fixed stop,क्रेन या वैगन स्थिर स्टॉप से,क्रेन किंवा वॅगन स्थिर स्टॉपवर,Kran oder Wagen gegen festen Anschlag,Pont ou wagon contre butée fixe,Grúa o vagón contra tope fijo,크레인/대차가 고정 스톱에 충돌,,,,,,,,,,
case_C1_sub,"one buffer, travel drive still pushing","एक बफर, ट्रैवल ड्राइव अभी भी धक्का दे रही","एक बफर, ट्रॅव्हल ड्राइव्ह अजून ढकलत आहे","ein Puffer, Fahrantrieb schiebt weiter","un butoir, entraînement encore actif","un tope, accionamiento sigue empujando","버퍼 1개, 주행 구동 계속 작동",,,,,,,,,,
case_C2,"Into a fixed stop, buffers both ends","स्थिर स्टॉप, दोनों ओर बफर","स्थिर स्टॉप, दोन्ही टोकांना बफर","Gegen festen Anschlag, Puffer beidseitig","Contre butée fixe, butoirs aux deux extrémités","Contra tope fijo, topes en ambos extremos","고정 스톱, 양단 버퍼",,,,,,,,,,
case_C2_sub,buffer on the crane and on the stop,क्रेन और स्टॉप दोनों पर बफर,क्रेन व स्टॉप दोन्हीवर बफर,Puffer am Kran und am Anschlag,butoir sur le pont et sur la butée,tope en la grúa y en el paro,크레인과 스톱 양쪽에 버퍼,,,,,,,,,,
case_C3,"Crane into crane, one side buffered","क्रेन से क्रेन, एक ओर बफर","क्रेन ते क्रेन, एका बाजूला बफर","Kran gegen Kran, einseitig gepuffert","Pont contre pont, un seul côté amorti","Grúa contra grúa, un lado con tope","크레인 간 충돌, 한쪽만 버퍼",,,,,,,,,,
case_C3_sub,"both moving, buffers on one only","दोनों चलते, बफर केवल एक पर","दोन्ही चालू, बफर फक्त एकावर","beide fahren, Puffer nur an einem","les deux en mouvement, butoirs sur un seul","ambas en movimiento, topes solo en una","둘 다 이동, 한쪽에만 버퍼",,,,,,,,,,
case_C4,"Crane into crane, both buffered","क्रेन से क्रेन, दोनों पर बफर","क्रेन ते क्रेन, दोन्हीवर बफर","Kran gegen Kran, beidseitig gepuffert","Pont contre pont, les deux amortis","Grúa contra grúa, ambas con tope","크레인 간 충돌, 양쪽 버퍼",,,,,,,,,,
case_C4_sub,buffers on both vehicles,दोनों वाहनों पर बफर,दोन्ही वाहनांवर बफर,Puffer an beiden Fahrzeugen,butoirs sur les deux engins,topes en ambos vehículos,양쪽 차량에 버퍼,,,,,,,,,,
case_I1,"Mass, no propelling force","द्रव्यमान, बिना प्रणोदक बल","वस्तुमान, प्रणोदक बल नाही",Masse ohne Vortriebskraft,Masse sans force motrice,Masa sin fuerza propulsora,추진력 없는 질량,,,,,,,,,,
case_I1_sub,"carriage coasting, drive disengaged","कैरिज मुक्त गति, ड्राइव अलग","कॅरेज मुक्त, ड्राइव्ह विलग","Schlitten rollt aus, Antrieb getrennt","chariot en roue libre, entraînement débrayé","carro en inercia, accionamiento desacoplado","캐리지 관성 주행, 구동 분리",,,,,,,,,,
case_I2,Mass with propelling force,प्रणोदक बल सहित द्रव्यमान,प्रणोदक बलासह वस्तुमान,Masse mit Vortriebskraft,Masse avec force motrice,Masa con fuerza propulsora,추진력 있는 질량,,,,,,,,,,
case_I2_sub,cylinder or drive still pushing,सिलेंडर या ड्राइव अभी भी धक्का दे रहा,सिलिंडर किंवा ड्राइव्ह अजून ढकलत आहे,Zylinder oder Antrieb schiebt weiter,vérin ou entraînement pousse encore,cilindro o accionamiento sigue empujando,실린더/구동이 계속 밈,,,,,,,,,,
case_I3,Mass with motor drive,मोटर ड्राइव सहित द्रव्यमान,मोटर ड्राइव्हसह वस्तुमान,Masse mit Motorantrieb,Masse avec entraînement moteur,Masa con accionamiento por motor,모터 구동 질량,,,,,,,,,,
case_I3_sub,motor stalls against the buffer,मोटर बफर के विरुद्ध रुकती है,मोटर बफरविरुद्ध थांबते,Motor kippt am Puffer,le moteur cale contre le butoir,el motor se bloquea contra el tope,모터가 버퍼에 걸려 정지,,,,,,,,,,
case_I4,Mass on driven rollers,चालित रोलर पर द्रव्यमान,चालित रोलरवर वस्तुमान,Masse auf angetriebenen Rollen,Masse sur rouleaux motorisés,Masa sobre rodillos motorizados,구동 롤러 위 질량,,,,,,,,,,
case_I4_sub,"friction drive, roller conveyor","घर्षण ड्राइव, रोलर कन्वेयर","घर्षण ड्राइव्ह, रोलर कन्व्हेयर","Reibantrieb, Rollenbahn","entraînement par friction, convoyeur à rouleaux","accionamiento por fricción, transportador de rodillos","마찰 구동, 롤러 컨베이어",,,,,,,,,,
case_I5,Free-falling mass,मुक्त-पतन द्रव्यमान,मुक्त-पतन वस्तुमान,Frei fallende Masse,Masse en chute libre,Masa en caída libre,자유낙하 질량,,,,,,,,,,
case_I5_sub,"drop height H, gravity through the stroke","गिरने की ऊँचाई H, स्ट्रोक में गुरुत्व","पडण्याची उंची H, स्ट्रोकमध्ये गुरुत्व","Fallhöhe H, Schwerkraft über den Hub","hauteur H, gravité pendant la course","altura H, gravedad durante la carrera","낙하 높이 H, 행정 중 중력 작용",,,,,,,,,,
case_I6,Mass on an incline,ढलान पर द्रव्यमान,उतारावर वस्तुमान,Masse auf schiefer Ebene,Masse sur plan incliné,Masa en plano inclinado,경사면 위 질량,,,,,,,,,,
case_I6_sub,gravity component plus friction,गुरुत्व घटक और घर्षण,गुरुत्व घटक व घर्षण,Gewichtskomponente plus Reibung,composante de gravité plus frottement,componente de gravedad más fricción,중력 성분과 마찰,,,,,,,,,,
case_I7,Swinging mass with propelling torque,प्रणोदक टॉर्क सहित झूलता द्रव्यमान,प्रणोदक टॉर्कसह झुलणारे वस्तुमान,Schwenkende Masse mit Antriebsmoment,Masse pivotante avec couple moteur,Masa oscilante con par motor,구동 토크 있는 회전 질량,,,,,,,,,,
case_I7_sub,pendulum or swing arm,पेंडुलम या स्विंग आर्म,पेंडुलम किंवा स्विंग आर्म,Pendel oder Schwenkarm,pendule ou bras pivotant,péndulo o brazo giratorio,진자 또는 스윙암,,,,,,,,,,
case_I8,Rotary index table,रोटरी इंडेक्स टेबल,रोटरी इंडेक्स टेबल,Rundschalttisch,Table d’indexation rotative,Mesa de indexado giratoria,로터리 인덱스 테이블,,,,,,,,,,
case_I8_sub,uniform weight about the axis,अक्ष के चारों ओर समान भार,अक्षाभोवती समान वजन,gleichmäßige Masse um die Achse,masse uniforme autour de l’axe,peso uniforme alrededor del eje,축 둘레 균일 하중,,,,,,,,,,
case_I9,Swinging arm with propelling force,प्रणोदक बल सहित स्विंग आर्म,प्रणोदक बलासह स्विंग आर्म,Schwenkarm mit Vortriebskraft,Bras pivotant avec force motrice,Brazo giratorio con fuerza propulsora,추진력 있는 스윙암,,,,,,,,,,
case_I9_sub,cylinder driving the arm,सिलेंडर आर्म चला रहा,सिलिंडर आर्म चालवतो,Zylinder treibt den Arm,vérin entraînant le bras,cilindro accionando el brazo,실린더가 암을 구동,,,,,,,,,,
case_I10,Mass lowered under control,नियंत्रित रूप से उतारा गया द्रव्यमान,नियंत्रित उतरवलेले वस्तुमान,Kontrolliert abgesenkte Masse,Masse descendue sous contrôle,Masa descendida bajo control,제어 하강 질량,,,,,,,,,,
case_I10_sub,"hoist overtravel, weight adds to the stroke","होइस्ट ओवरट्रैवल, भार स्ट्रोक में जुड़ता है","हॉइस्ट ओव्हरट्रॅव्हल, वजन स्ट्रोकमध्ये जोडले जाते","Hubwerk-Überfahrt, Gewicht wirkt über den Hub","surcourse du palan, le poids s’ajoute sur la course","sobrerrecorrido del polipasto, el peso se suma en la carrera","호이스트 오버트래블, 하중이 행정에 추가",,,,,,,,,,
case_I11,Swinging arm with propelling torque,प्रणोदक टॉर्क सहित स्विंग आर्म,प्रणोदक टॉर्कसह स्विंग आर्म,Schwenkarm mit Antriebsmoment,Bras pivotant avec couple moteur,Brazo giratorio con par motor,구동 토크 있는 스윙암,,,,,,,,,,
case_I11_sub,uniform weight distribution,समान भार वितरण,समान वजन वितरण,gleichmäßige Massenverteilung,répartition uniforme de la masse,distribución uniforme del peso,균일 하중 분포,,,,,,,,,,
rub_title,Rubber anti-vibration mounts,रबर एंटी-वाइब्रेशन माउंट,रबर अँटी-व्हायब्रेशन माउंट,Gummi-Schwingungsdämpfer,Plots anti-vibratoires caoutchouc,Soportes antivibratorios de goma,고무 방진 마운트,,,,,,,,,,
rub_hint,"Pick the machine type, enter the supported mass, number of mounts and the disturbing frequency (running speed). The selector finds mounts whose load band and natural frequency give the isolation you want.","मशीन प्रकार चुनें, समर्थित द्रव्यमान, माउंट संख्या और डिस्टर्बिंग फ्रीक्वेंसी (गति) दर्ज करें। सेलेक्टर वे माउंट खोजता है जिनका लोड बैंड और प्राकृतिक आवृत्ति वांछित आइसोलेशन दे।","मशीन प्रकार निवडा, वस्तुमान, माउंट संख्या व डिस्टर्बिंग फ्रिक्वेन्सी (वेग) भरा. सिलेक्टर हवे ते आयसोलेशन देणारे माउंट शोधतो.","Maschinentyp wählen, getragene Masse, Anzahl Lager und Erregerfrequenz (Drehzahl) eingeben. Der Selektor findet Lager, deren Lastbereich und Eigenfrequenz die gewünschte Isolierung ergeben.","Choisissez le type de machine, la masse, le nombre de plots et la fréquence perturbatrice (vitesse). Le sélecteur trouve les plots dont la plage de charge et la fréquence propre donnent l’isolation voulue.","Elija el tipo de máquina, la masa, el número de soportes y la frecuencia perturbadora (velocidad). El selector encuentra soportes cuya banda de carga y frecuencia natural dan el aislamiento deseado.","기계 유형, 지지 질량, 마운트 수, 가진 주파수(회전수)를 입력하세요. 하중 범위와 고유 진동수가 원하는 절연율을 주는 마운트를 찾습니다.",,,,,,,,,,
f_mass,Supported mass,समर्थित द्रव्यमान,आधारित वस्तुमान,Getragene Masse,Masse supportée,Masa soportada,지지 질량,,,,,,,,,,
f_mounts,Number of mounts,माउंट की संख्या,माउंटची संख्या,Anzahl Lager,Nombre de plots,Número de soportes,마운트 수,,,,,,,,,,
f_rpm,Running speed,चालन गति,चालण्याचा वेग,Drehzahl,Vitesse de rotation,Velocidad de giro,회전 속도,,,,,,,,,,
f_iso,Isolation wanted,वांछित आइसोलेशन,हवे ते आयसोलेशन,Gewünschte Isolierung,Isolation souhaitée,Aislamiento deseado,목표 절연율,,,,,,,,,,
f_cg,CG load factor,CG लोड गुणांक,CG लोड गुणांक,Schwerpunkt-Lastfaktor,Facteur de charge CG,Factor de carga CG,무게중심 하중 계수,,,,,,,,,,
rub_genset,Generator set,जेनरेटर सेट,जनरेटर सेट,Stromerzeuger,Groupe électrogène,Grupo electrógeno,발전기 세트,,,,,,,,,,
rub_genset_sub,"diesel / gas genset, 1500 rpm","डीज़ल / गैस जेनसेट, 1500 rpm","डिझेल / गॅस जनसेट, 1500 rpm","Diesel-/Gasaggregat, 1500 min⁻¹","groupe diesel / gaz, 1500 tr/min","grupo diésel / gas, 1500 rpm","디젤/가스 발전기, 1500 rpm",,,,,,,,,,
rub_comp,Compressor,कंप्रेसर,कॉम्प्रेसर,Kompressor,Compresseur,Compresor,압축기,,,,,,,,,,
rub_comp_sub,"reciprocating or screw, 1450 rpm","रेसिप्रोकेटिंग या स्क्रू, 1450 rpm","रेसिप्रोकेटिंग किंवा स्क्रू, 1450 rpm","Kolben oder Schraube, 1450 min⁻¹","à piston ou à vis, 1450 tr/min","alternativo o de tornillo, 1450 rpm","왕복식 또는 스크류, 1450 rpm",,,,,,,,,,
rub_hvac,HVAC / fan / AHU,HVAC / पंखा / AHU,HVAC / पंखा / AHU,HLK / Ventilator / RLT,CVC / ventilateur / CTA,HVAC / ventilador / UTA,HVAC / 팬 / 공조기,,,,,,,,,,
rub_hvac_sub,"low speed, 960 rpm","कम गति, 960 rpm","कमी वेग, 960 rpm","niedrige Drehzahl, 960 min⁻¹","basse vitesse, 960 tr/min","baja velocidad, 960 rpm","저속, 960 rpm",,,,,,,,,,
rub_pump,Pump / motor,पंप / मोटर,पंप / मोटर,Pumpe / Motor,Pompe / moteur,Bomba / motor,펌프 / 모터,,,,,,,,,,
rub_pump_sub,"2-pole, 2900 rpm","2-पोल, 2900 rpm","2-पोल, 2900 rpm","2-polig, 2900 min⁻¹","2 pôles, 2900 tr/min","2 polos, 2900 rpm","2극, 2900 rpm",,,,,,,,,,
rub_press,Press / punch,प्रेस / पंच,प्रेस / पंच,Presse / Stanze,Presse / poinçonneuse,Prensa / punzonadora,프레스 / 펀치,,,,,,,,,,
rub_press_sub,"impact machine, 300 strokes/min","इम्पैक्ट मशीन, 300 स्ट्रोक/मिनट","इम्पॅक्ट मशीन, 300 स्ट्रोक/मिनिट","Schlagmaschine, 300 Hübe/min","machine à chocs, 300 coups/min","máquina de impacto, 300 golpes/min","충격 기계, 300 스트로크/분",,,,,,,,,,
rub_panel,Panel / cabinet / instrument,पैनल / कैबिनेट / उपकरण,पॅनल / कॅबिनेट / उपकरण,Schaltschrank / Gerät,Armoire / instrument,Panel / armario / instrumento,패널 / 캐비닛 / 계기,,,,,,,,,,
rub_panel_sub,"protect from floor vibration, 50 Hz","फर्श कंपन से सुरक्षा, 50 Hz","फरशीच्या कंपनापासून संरक्षण, 50 Hz","Schutz vor Bodenschwingung, 50 Hz","protection contre les vibrations du sol, 50 Hz","proteger de la vibración del suelo, 50 Hz","바닥 진동으로부터 보호, 50 Hz",,,,,,,,,,
login_title,Sign in,साइन इन,साइन इन,Anmelden,Connexion,Iniciar sesión,로그인,,,,,,,,,,
login_hint,Enter your email — we send a 6-digit code. Sales team addresses see prices and lead times; the admin address opens the admin panel. Customers can use the selectors without signing in.,अपना ईमेल दर्ज करें — हम 6-अंकीय कोड भेजते हैं। सेल्स टीम के पते मूल्य व लीड टाइम देखते हैं; एडमिन पता एडमिन पैनल खोलता है। ग्राहक बिना साइन इन के सेलेक्टर उपयोग कर सकते हैं।,ईमेल भरा — आम्ही 6-अंकी कोड पाठवतो. सेल्स टीमला किंमती व लीड टाइम दिसतात; अ‍ॅडमिन पत्ता अ‍ॅडमिन पॅनल उघडतो. ग्राहक साइन इन न करता सिलेक्टर वापरू शकतात.,E-Mail eingeben — wir senden einen 6-stelligen Code. Vertriebsadressen sehen Preise und Lieferzeiten; die Admin-Adresse öffnet das Admin-Panel. Kunden können die Selektoren ohne Anmeldung nutzen.,Saisissez votre e-mail — nous envoyons un code à 6 chiffres. Les adresses commerciales voient prix et délais ; l’adresse admin ouvre le panneau admin. Les clients utilisent les sélecteurs sans connexion.,Introduzca su correo — enviamos un código de 6 dígitos. Las direcciones de ventas ven precios y plazos; la dirección admin abre el panel. Los clientes usan los selectores sin iniciar sesión.,"이메일을 입력하면 6자리 코드를 보냅니다. 영업팀 주소는 가격과 납기를 볼 수 있고, 관리자 주소는 관리자 패널을 엽니다. 고객은 로그인 없이 선정 도구를 사용할 수 있습니다.",,,,,,,,,,
send_code,Send code,कोड भेजें,कोड पाठवा,Code senden,Envoyer le code,Enviar código,코드 보내기,,,,,,,,,,
f_code,6-digit code,6-अंकीय कोड,6-अंकी कोड,6-stelliger Code,Code à 6 chiffres,Código de 6 dígitos,6자리 코드,,,,,,,,,,
verify,Verify,सत्यापित करें,पडताळा,Prüfen,Vérifier,Verificar,확인,,,,,,,,,,
send_again,Send again,फिर भेजें,पुन्हा पाठवा,Erneut senden,Renvoyer,Enviar de nuevo,다시 보내기,,,,,,,,,,
code_sent,Code sent — check your inbox (and spam).,कोड भेजा गया — इनबॉक्स (और स्पैम) देखें।,कोड पाठवला — इनबॉक्स (व स्पॅम) पहा.,Code gesendet — Posteingang (und Spam) prüfen.,Code envoyé — vérifiez votre boîte (et les spams).,Código enviado — revise su bandeja (y spam).,코드를 보냈습니다 — 받은편지함(스팸 포함)을 확인하세요.,,,,,,,,,,
code_not_sent,Mail could not be sent.,मेल नहीं भेजा जा सका।,मेल पाठवता आला नाही.,Mail konnte nicht gesendet werden.,L’e-mail n’a pas pu être envoyé.,No se pudo enviar el correo.,메일을 보낼 수 없습니다.,,,,,,,,,,
chosen_case,Your application,आपका अनुप्रयोग,तुमचा उपयोग,Ihre Anwendung,Votre application,Su aplicación,선택한 용도,Your application,Your application,Your application,Your application,Your application,Your application,Your application,Your application,Your application,Your application
change_case,Change,बदलें,बदला,Ändern,Modifier,Cambiar,변경,Change,Change,Change,Change,Change,Change,Change,Change,Change,Change
